gmail_message_id,received_at,from,subject,snippet,label
syn-001,2026-09-01T09:00:00Z,careers@examplecorp.com,Your application to Example Corp,Thank you for applying. We have received your application and will be in touch.,confirmation
syn-002,2026-09-01T10:00:00Z,no-reply@greenhouse.io,Example Corp — Online Assessment,Please complete your online assessment within 5 days to continue.,oa
syn-003,2026-09-01T11:00:00Z,recruiting@examplecorp.com,Interview invitation — Software Engineer Intern,We would like to schedule a 45 minute technical interview with you next week.,interview
syn-004,2026-09-01T12:00:00Z,talent@examplecorp.com,Offer of employment — Summer 2027 Internship,We are delighted to extend you an offer for the Summer 2027 internship.,offer
syn-005,2026-09-01T13:00:00Z,no-reply@examplecorp.com,Update on your application,After careful consideration we will not be moving forward with your application.,rejection
syn-006,2026-09-01T14:00:00Z,jobs@ziprecruiter.com,15 new Software Engineer jobs for you,See the newest Software Engineer roles posted this week near you.,disregarded
syn-007,2026-09-01T15:00:00Z,newsletter@techweekly.example,This week in tech,The biggest stories in technology this week plus our editor's picks.,disregarded
syn-008,2026-09-01T16:00:00Z,recruiter@staffingagency.example,Exciting opportunity for a Java Developer,I came across your profile and wanted to reach out about a contract role.,outreach
syn-009,2026-09-02T09:00:00Z,systemmessage@paycomonline.com,Application received,Your application has been received and is being reviewed by our team.,confirmation
syn-010,2026-09-02T10:00:00Z,noreply@hackerrank.com,Complete your coding challenge,Your assessment link expires in 72 hours. Please complete it before then.,oa
syn-011,2026-09-02T11:00:00Z,billing@someservice.example,Your receipt from SomeService,Thanks for your payment of $12.00. View your invoice online.,disregarded
syn-012,2026-09-02T12:00:00Z,scheduling@examplecorp.com,Please book a time — final round,Use the link below to select a slot for your final round interview.,interview
